text	topic	parent_L1
His last concert was in Sydney on July 24, 1943, after which neuritis in his left hand forced him to retire from the concert platform.	Jewish emigration from Nazi Germany	Politically motivated migrations
He was the author of the text of Arnold Schoenberg's first complete surviving work in hellen Träumen hab ich Dich oft geschaut for voice and piano, composed in the summer of 1893.	Jewish emigration from Nazi Germany	Politically motivated migrations
A later accounting attributed humanitarian organisations with facilitating the emigration of 12,000 refugees from Czechoslovakia to the United Kingdom in 1938 until the end of 1939.	Jewish emigration from Nazi Germany	Politically motivated migrations
Joel Brand was dispatched to Istanbul to persuade the Jewish Agency leadership to accept this plan, which came to nothing.	Jewish emigration from Nazi Germany	Politically motivated migrations
Writing career During the years 1963 to 1965, her husband became the cultural attaché from Israel to the Soviet Union.	Jewish emigration from Nazi Germany	Politically motivated migrations
1963: "The Life of Clementine Kraemer", New York 1963 & LBI Year Book 9 London 1964 (267–292) 1963: (Ed.) Intermarriage and Jewish Life 1964 (with Alvin Boskoff): Sociology and History: Theory and Research 1969: "The Three Regions of German-Jewish History", in Jubilee.	Jewish emigration from Nazi Germany	Politically motivated migrations
Resettlement in Alaska would allow the refugees to bypass normal immigration quotas, because Alaska was a territory and not a state.	Jewish emigration from Nazi Germany	Politically motivated migrations
In 1950, he spent a year in Chicago as a visiting professor at the Institute of Design, which had been founded by László Moholy-Nagy as the "New Bauhaus" together with artists and designers from the Bauhaus who had left Germany at a similar time to Schleger.	Jewish emigration from Nazi Germany	Politically motivated migrations
Alfred Reynolds (born Reinhold Alfréd; 13 December 1907, Budapest – 23 December 1993, London) was a writer on social and religious topics.	Jewish emigration from Nazi Germany	Politically motivated migrations
He returned to Israel in 1953 and served as secretary of the Beersheba Workers Council, and was head of Labor Relations in the Ministry of Labour.	Jewish emigration from Nazi Germany	Politically motivated migrations
Also in this period, Camnitzer produced a series of "object-boxes" in which ordinary items were placed inside wood-framed glass boxes with textually descriptive brass plaques.	Jewish emigration from Nazi Germany	Politically motivated migrations
However, the whereabouts of most of Agathe and Ernst Saulmann's collection, including art from their villa in Florence, is unknown.	Jewish emigration from Nazi Germany	Politically motivated migrations
'Our Neighborhood', also 'Fish, Football, and Girls'), a bourekas film with Shaike Ophir, Gabi Amrani, Yona Atari, Tsippi Shavit, and Gadi Yagil among others; Kol Mamzer Melekh (1968) (Hebrew: כל ממזר מלך, lit.	Jewish emigration from Nazi Germany	Politically motivated migrations
Civita did his college studies in the United States, beginning with nuclear physics at Rice University, Texas, but gave up the subject when he realized that it was not his calling.	Jewish emigration from Nazi Germany	Politically motivated migrations
(1931) His Majesty and Company (1935) References External links Free scores by Wilhelm Grosz at the International Music Score Library Project (IMSLP)	Jewish emigration from Nazi Germany	Politically motivated migrations
She also continued her vocal studies under new instructors, including Rhea Silberta, Sebastian Engelberg and Olga Ryss.	Jewish emigration from Nazi Germany	Politically motivated migrations
