text	topic	parent_L1
Beginning with that sale and continuing throughout the campaign, Fairey used proceeds from selling the image to produce more; after first printing, he made 4,000 more that were distributed at Obama rallies before Super Tuesday.	Public art	Public sphere
During its recovery the last buildings — the tent-like church of Saint Martinian (1641), a two-tented barbican church (1650), and a bell-tower (1680) — were added to the complex.	Public art	Public sphere
Blackboard chalk, typically used in educational settings, is shorter and thinner than sidewalk chalk.	Public art	Public sphere
Urban folklore has it that cyclists on round-island trips will make a pit stop there, where they will take photos with the lamp post, and leave their favourite stickers behind.	Public art	Public sphere
He had over 8 years of experience in various kind of communication design projects in the industry as well as his own startup, Digital Moustache.	Public art	Public sphere
Wildstyle has drawn inspiration from traditional calligraphy and has been described by some as partially abstract but does have specific traits associated with the form.	Public art	Public sphere
The Steppe Geoglyphs are a number of earth constructions in the Turgai Trough area of Turgai in northern Kazakhstan.	Public art	Public sphere
Notable examples have been made by many different Australian Aboriginal cultures, and in many cases are thought to be associated with spiritual ceremonies.	Public art	Public sphere
In a 2001 exercise, an attempt was made to transport a large stone along a land and sea route from Wales to Stonehenge.	Public art	Public sphere
René kept the gallery open into 1999, when he and Joanne were pressured out of their long-time Wooster Street space.	Public art	Public sphere
From right to left are Madam Governor and her two daughters (Shiyi Niang and Shisan Niang), along with nine maidservants.	Public art	Public sphere
Undisturbed stones are found usually arranged in parallel pairs of between eight and fourteen lattes framing a rectangular space.	Public art	Public sphere
In July 2020, the S was trademarked in the United States as "The S Thing" by a man who had no involvement in its creation.	Public art	Public sphere
In contrast to conventional graffiti styles that emerged in 1970s New York, Brazilian pichação was inspired by blackletter typefaces and runic style lettering that were commonly used on record sleeves by popular heavy metal bands in the 1980s.	Public art	Public sphere
See also Cultural depictions of cats Fathom (art installation), another temporary art installation in Portland Wildwood: Follow the Crows (2026) References External links "Coraline's Curious Cat Trail descends upon downtown Portland".	Public art	Public sphere
By 1984, Knight had discovered Slab City – a transient and retiree commune – and decided to leave a 'small monument' out of concrete and paint.	Public art	Public sphere
Kissing Students (Estonian: Suudlevad tudengid) is a sculpture and fountain located in Raekoja plats, Tartu, Estonia.	Public art	Public sphere
During the coronation festivities accompanying the crowning of the Kings of Hungary in the city between 1563 and 1830, wine was usually poured into the town fountains.	Public art	Public sphere
The carved limestone depicts the Roman goddess Diana seated and surrounded by fish, cattails and a unicorn.	Public art	Public sphere
Such graffiti/street artists as Keith Haring, Shepard Fairey, Above, Mint&Serf, Futura 2000, Os Gemeos, and Faile among others have successfully transcended their street art aesthetic beyond the walls of urban landscape and onto walls of private and corporate clients.	Public art	Public sphere
With this victory and the blood spilled by the friendship of the Korean and Soviet people became even stronger.	Public art	Public sphere
Jodi Magness also states that during the 4th century Jewish places of worship represented “the Garden of Eden or Paradise, a place where heaven and earth were united”.	Public art	Public sphere
The foundation stone was laid by Brigadier General Sir William Henry Manning, Governor of Ceylon on December 7, 1921, and was unveiled by him October 27, 1923 at the Galle Face Green and was known as the Victory tower.	Public art	Public sphere
It is in the building of these systems that Herodes Atticus had become in essence a civil engineer with expertise in water supply.	Public art	Public sphere
Controversy On 26 January 2020, Headache Stencil came under controversy for his statements on Twitter targeting Chinese people, which read "Hey Chink!	Public art	Public sphere
He launched Portals in collaboration with fellow journalist Michelle Moghtader and Iranian artist Sohrab Kashani.	Public art	Public sphere
Moreover, there are some challenges in fabricating and applying graphene oxide based nanofilters for water desalination.	Public art	Public sphere
Alyce McGovern highlights that a possible reason for this is that yarn bombing is often done by white middle-class women and it is seen as harmless fun; it is deemed more as street art and less as graffiti (which is enforced much more strictly).	Public art	Public sphere
Invurt maintains news of exhibitions and events, interviews and photography of street art across Australia, New Zealand and South East Asia.	Public art	Public sphere
The individual figures, however, indicate marked deterioration from the expressive detail of the murals of Seti I's mortuary temple.	Public art	Public sphere
The Lovers is a public art work by artist Mark di Suvero located at the Lynden Sculpture Garden near Milwaukee, Wisconsin.	Public art	Public sphere
The piece also questioned whether the performance – or the document of the performance – was the actual artwork.	Public art	Public sphere
The St Pancras piano is part of a wider phenomenon of public pianos in the UK, influenced by initiatives such as artist Luke Jerram's "Play me, I'm yours" installation, which began in 2008.	Public art	Public sphere
See also Presencia de América Latina References External links Description of the work in www.portaldearte.cl (in Spanish) Ojo con el Arte - 1990 - Murales de Concepción (YouTube video in Spanish).	Public art	Public sphere
The initial concept for the southernmost end of the project included the Crenshaw Monument, a 120-foot-tall (6.1 m) totem that spells out Crenshaw in giant letters.	Public art	Public sphere
These geoglyphs form different geometric patterns and appear in several shapes, and are up to 13 ft (4m) deep.	Public art	Public sphere
The constructions Many or all of them consist of smaller earthworks (mounds, trenches, and ramparts) arranged with each other to make geometric and other shapes (composite figures).	Public art	Public sphere
Even the deity syllables are removed in a specific order along with the rest of the geometry until at last the mandala has been dismantled to show impermanence.	Public art	Public sphere
Its vasque had a circle of gas lamps which shone on the cascading water, making it one of the first fountains to be illuminated.	Public art	Public sphere
Graffiti is often seen as a form of territory, and once it premiers on a location it invites others to participate in the act of vandalism.	Public art	Public sphere
The festival has since exhibited in 17 cities worldwide with the purpose of city beautification and community building.	Public art	Public sphere
The technical procedure for sgraffito is relatively simple, resembling the process of painting frescoes.	Public art	Public sphere
Vallauri's (anonymous) stencils were published in France since 1982 and had a larger impact on the New Yorker and later Polish stencil graffiti movements around David Wojnarowicz and Thomaz Sikorski.	Public art	Public sphere
See also List of public art in Baltimore Fort McHenry References External links http://monumentcity.net/2009/03/02/armistead-monument-at-fort-mchenry-baltimore-md/	Public art	Public sphere
Cirio overlaid the auction prices on the images to sell them as digital artworks on the website Art-Derivatives.com [31] for a fraction of the value set at the auctions.	Public art	Public sphere
There is a bridge over the stream next to the southern carriageway of H3, and an underpass links this bridge to the cows' field.	Public art	Public sphere
In 1996, a new article published in an engineering magazine offered a new interpretation, according to which the pucara might be a ritual site and an astronomical observatory, not a fortress.	Public art	Public sphere
By the middle of the Bristol trail over 1,000,000 sculptures had been ticked off using the app, which also allowed visitors to complete special trails, learn about the sculptures and artists, and earn interactive trophies.	Public art	Public sphere
Recognition Facter is noted for his advocacy of street art and graffiti in Australia, he has written articles on street art in Australia, as well as on issues of copyright.	Public art	Public sphere
Fine granules that have been rounded by the natural influences of seas, rivers or fluvials, in turn negatively influence the bonding between the individual granules as they more easily slide past each other.	Public art	Public sphere
Sunpendulum is an art, science and technology project devised by Austrian media artist Kurt Hofstetter.	Public art	Public sphere
The contaminants, chlorinated ethylenes (PCE and TCE), were removed, leaving, for the most part, fully dechlorinated groundwater (little vinyl chloride was observed).	Public art	Public sphere
It houses four traditional Meitei watercraft, including two hiyang hirens (Royal racing boats) and two tanna his (commoners' racing boats).	Public art	Public sphere
